danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.665,0.166,2,-21.577,1,0.849,0.955,0.0,0.506,0.362,104.232,audio_features,0GSvD0YpFGvZVklr7o6ecP,spotify:track:0GSvD0YpFGvZVklr7o6ecP,https://api.spotify.com/v1/tracks/0GSvD0YpFGvZVklr7o6ecP,https://api.spotify.com/v1/audio-analysis/0GSvD0YpFGvZVklr7o6ecP,257000,3
0.406,0.914,3,-2.525,1,0.0511,0.579,0.0,0.265,0.866,98.565,audio_features,2J9XyOO4UPrCicx550PFUW,spotify:track:2J9XyOO4UPrCicx550PFUW,https://api.spotify.com/v1/tracks/2J9XyOO4UPrCicx550PFUW,https://api.spotify.com/v1/audio-analysis/2J9XyOO4UPrCicx550PFUW,401797,4
0.61,0.18,8,-20.031,1,0.937,0.966,0.0,0.717,0.509,82.524,audio_features,6PPuHWfuEHBUadTl7F2t2X,spotify:track:6PPuHWfuEHBUadTl7F2t2X,https://api.spotify.com/v1/tracks/6PPuHWfuEHBUadTl7F2t2X,https://api.spotify.com/v1/audio-analysis/6PPuHWfuEHBUadTl7F2t2X,422079,4
0.503,0.281,10,-17.104,1,0.0499,0.777,3.86e-06,0.529,0.692,78.91,audio_features,7okrCf19RJ23HKUjoMBKp3,spotify:track:7okrCf19RJ23HKUjoMBKp3,https://api.spotify.com/v1/tracks/7okrCf19RJ23HKUjoMBKp3,https://api.spotify.com/v1/audio-analysis/7okrCf19RJ23HKUjoMBKp3,267768,4
0.703,0.216,0,-16.399,1,0.744,0.923,0.0,0.604,0.3,131.314,audio_features,3GdDZkdlcpDGg7SXRsryXu,spotify:track:3GdDZkdlcpDGg7SXRsryXu,https://api.spotify.com/v1/tracks/3GdDZkdlcpDGg7SXRsryXu,https://api.spotify.com/v1/audio-analysis/3GdDZkdlcpDGg7SXRsryXu,174510,5
0.49,0.884,1,-2.352,1,0.069,0.454,0.00974,0.294,0.905,109.738,audio_features,5xoIJBUdUJyiOoh0zOHisI,spotify:track:5xoIJBUdUJyiOoh0zOHisI,https://api.spotify.com/v1/tracks/5xoIJBUdUJyiOoh0zOHisI,https://api.spotify.com/v1/audio-analysis/5xoIJBUdUJyiOoh0zOHisI,212555,4
0.53,0.14,5,-21.314,0,0.497,0.986,6.33e-06,0.251,0.412,76.767,audio_features,1KYoilQGV0yk8sKJ7D01fz,spotify:track:1KYoilQGV0yk8sKJ7D01fz,https://api.spotify.com/v1/tracks/1KYoilQGV0yk8sKJ7D01fz,https://api.spotify.com/v1/audio-analysis/1KYoilQGV0yk8sKJ7D01fz,200827,3
0.483,0.892,6,-3.613,0,0.0506,0.349,2.96e-06,0.0873,0.796,108.183,audio_features,26ZFZvJ2pRFRxyAZ2XmmUg,spotify:track:26ZFZvJ2pRFRxyAZ2XmmUg,https://api.spotify.com/v1/tracks/26ZFZvJ2pRFRxyAZ2XmmUg,https://api.spotify.com/v1/audio-analysis/26ZFZvJ2pRFRxyAZ2XmmUg,557113,4
0.806,0.581,2,-8.411,1,0.0473,0.724,0.000125,0.0585,0.965,114.841,audio_features,1refYakpJVOSfpl4dxpx7V,spotify:track:1refYakpJVOSfpl4dxpx7V,https://api.spotify.com/v1/tracks/1refYakpJVOSfpl4dxpx7V,https://api.spotify.com/v1/audio-analysis/1refYakpJVOSfpl4dxpx7V,295262,4
0.524,0.319,0,-12.712,1,0.0294,0.651,0.00139,0.14,0.32,141.683,audio_features,7kR5D9lfPFXTQbO9wxAWXu,spotify:track:7kR5D9lfPFXTQbO9wxAWXu,https://api.spotify.com/v1/tracks/7kR5D9lfPFXTQbO9wxAWXu,https://api.spotify.com/v1/audio-analysis/7kR5D9lfPFXTQbO9wxAWXu,141042,4
